State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
California,2/29/2020,"41,678",2/22/2020,"369,988","17,265,039",2.14
California,3/7/2020,"43,385",2/29/2020,"378,864","17,265,039",2.19
California,3/14/2020,"57,606",3/7/2020,"351,344","17,265,039",2.04
California,3/21/2020,"186,333",3/14/2020,"421,912","17,265,039",2.44
Colorado,1/5/2019,"2,710",12/29/2018,"21,864","2,571,804",0.85
Colorado,1/12/2019,"3,077",1/5/2019,"21,215","2,588,607",0.82
Colorado,1/19/2019,"2,701",1/12/2019,"21,748","2,588,607",0.84
Colorado,1/26/2019,"2,409",1/19/2019,"23,144","2,588,607",0.89
Colorado,2/2/2019,"2,275",1/26/2019,"22,589","2,588,607",0.87
Colorado,2/9/2019,"2,210",2/2/2019,"23,442","2,588,607",0.91
Colorado,2/16/2019,"1,813",2/9/2019,"22,326","2,588,607",0.86
Colorado,2/23/2019,"1,925",2/16/2019,"23,469","2,588,607",0.91
Colorado,3/2/2019,"1,719",2/23/2019,"22,043","2,588,607",0.85
Colorado,3/9/2019,"1,891",3/2/2019,"23,142","2,588,607",0.89
Colorado,3/16/2019,"1,506",3/9/2019,"21,189","2,588,607",0.82
Colorado,3/23/2019,"1,550",3/16/2019,"22,886","2,588,607",0.88
Colorado,3/30/2019,"1,483",3/23/2019,"20,354","2,588,607",0.79
Colorado,4/6/2019,"1,903",3/30/2019,"20,735","2,588,607",0.8
Colorado,4/13/2019,"2,037",4/6/2019,"18,236","2,605,045",0.7
Colorado,4/20/2019,"1,989",4/13/2019,"19,035","2,605,045",0.73
Colorado,4/27/2019,"1,945",4/20/2019,"18,239","2,605,045",0.7
Colorado,5/4/2019,"1,813",4/27/2019,"18,717","2,605,045",0.72
Colorado,5/11/2019,"1,765",5/4/2019,"18,094","2,605,045",0.69
Colorado,5/18/2019,"1,617",5/11/2019,"18,533","2,605,045",0.71
Colorado,5/25/2019,"1,880",5/18/2019,"18,166","2,605,045",0.7
Colorado,6/1/2019,"1,613",5/25/2019,"17,684","2,605,045",0.68
Colorado,6/8/2019,"1,978",6/1/2019,"18,061","2,605,045",0.69
Colorado,6/15/2019,"1,517",6/8/2019,"17,158","2,605,045",0.66
Colorado,6/22/2019,"1,537",6/15/2019,"18,078","2,605,045",0.69
Colorado,6/29/2019,"1,355",6/22/2019,"16,960","2,605,045",0.65
Colorado,7/6/2019,"1,450",6/29/2019,"17,305","2,605,045",0.66
Colorado,7/13/2019,"1,809",7/6/2019,"16,974","2,620,560",0.65
Colorado,7/20/2019,"1,506",7/13/2019,"17,249","2,620,560",0.66
Colorado,7/27/2019,"1,460",7/20/2019,"16,994","2,620,560",0.65
Colorado,8/3/2019,"1,512",7/27/2019,"17,233","2,620,560",0.66
Colorado,8/10/2019,"1,542",8/3/2019,"16,862","2,620,560",0.64
Colorado,8/17/2019,"1,471",8/10/2019,"16,765","2,620,560",0.64
Colorado,8/24/2019,"1,486",8/17/2019,"16,298","2,620,560",0.62
Colorado,8/31/2019,"1,510",8/24/2019,"15,947","2,620,560",0.61
Colorado,9/7/2019,"1,465",8/31/2019,"15,460","2,620,560",0.59
Colorado,9/14/2019,"1,467",9/7/2019,"15,597","2,620,560",0.6
Colorado,9/21/2019,"1,418",9/14/2019,"15,379","2,620,560",0.59
Colorado,9/28/2019,"1,429",9/21/2019,"15,283","2,620,560",0.58
Colorado,10/5/2019,"1,967",9/28/2019,"15,426","2,620,560",0.59
Colorado,10/12/2019,"2,002",10/5/2019,"14,966","2,635,231",0.57
Colorado,10/19/2019,"1,879",10/12/2019,"15,647","2,635,231",0.59
Colorado,10/26/2019,"1,849",10/19/2019,"16,182","2,635,231",0.61
